Fromages;Calories;Sodium;Calcium;Retinol;Folates;Proteines;Magnesium
CarreDelEst;314;353,5;72,6;51,6;30,3;21;20
Babybel;314;238;209,8;63,7;6,4;22,6;27
Beaufort;401;112;259,4;54,9;1,2;26,6;41
Bleu;342;336;211,1;37,1;27,5;20,2;27
Camembert;264;314;215,9;103;36,4;23,4;20
Cantal;367;256;264;48,8;5,7;23;30
Chabichou;344;192;87,2;90,1;36,3;19,5;36
Chaource;292;276;132,9;116,4;32,5;17,8;25
Cheddar;406;172;182,3;76,4;4,9;26;28
Comte;399;92;220,5;55,9;1,3;29,2;51
Coulommier;308;222;79,2;63,6;21,1;20,5;13
Edam;327;148;272,2;65,7;5,5;24,7;44
Emmental;378;60;308,2;56,3;2,4;29,4;45
Fr.ChevrePateMolle;206;160;72,8;150,5;31;11,1;16
Fr.fondu.45;292;390;168,5;77,4;5,5;16,8;20
Fr.Frais20nat;80;41;146,3;50;20;8,3;11
Fr.Frais40nat;115;25;94,8;64,3;22,6;7;10
Maroilles;338;311;236,7;46,7;3,6;20,4;40
Morbier;347;285;219;57,6;5,8;23,6;30
Parmesan;381;240;334,6;90;5,2;35,7;46
PetitSuisse40;142;22;78,2;63,4;20,4;9,4;10
PontLevesque;300;223;156,7;53;4;21,1;22
Pyrenees;355;232;178,9;51,5;6,8;22,4;25
Reblochon;309;272;202,3;73,1;8,1;19,7;30
Roquefort;370;432;162;83,5;13,3;18,7;25
SaintPaulin;298;205;261;60,4;6,7;23,3;26
Tome;321;252;125,5;62,3;6,2;21,8;20
Vacherin;321;140;218;49,2;3,7;17,6;30
Yaourtlaitent.nat;70;91;215,7;42,9;2,9;4,1;14
